mode_of_operation,ignition_status,msg_type,msg_num,current_gsm_2_3_nb,current_gsm_4_5_nb,unit_io_status_byte_4,unit_io_status_byte_3,unit_io_status_byte_2,unit_io_status_byte_1,unit_id,unit_status_current_gsm_1nb,raw_packet,utc_time_hour,utc_time_min,utc_time_sec,vehicle_movement_status,unit_hw_ver,unit_sw_ver,ground_speed,gps_validity,altitude,trans_reason_data,analog_ip_1,analog_ip_2,analog_ip_3,analog_ip_4,header_1,header_2,header_3,header_4,multipurpose_field,location_status,packettimestamp,receivedtimestamp,latitude,longitude,error_detection_code,imei,gps_date_year,mileage_counter,utc_date_month,utc_date_day,trans_reason,num_staellites,protocol_ver_id,date_part,gps_mode_1,gps_mode_2,comm_ctrl
1,0,0,254,157,235,32,4,51,3,1410765,0,4d43475000cd861500080dfe6b2b04009d00210103330420eb6de8ff9a1b2100103d71f0214701c8a0040208b641ac074f94f001d0cf00000900000020131801001903e10746,0,1,24,0,107,43,9,1,53200,0,12.8235294118,3.8211764694,255,154,77,67,71,80,,160,2017-03-25T00:01:24.000Z,2017-03-25T00:02:08.859Z,18.646252821,73.7566476848,70,,2017,8475,3,25,33,8,4,2017-03-25,4,2,3336
1,0,0,255,157,235,32,12,51,3,1410765,0,4d43475000cd861500080dff6b2b04009d000b0103330c20eb6ee8ff9a1b2100103d71f0214701c8a0000008b641ac074f94f001d0cf00000900000020133801001903e10754,0,1,56,0,107,43,9,0,53200,0,12.9411764706,3.8211764694,255,154,77,67,71,80,,160,2017-03-25T00:02:08.860Z,2017-03-25T00:02:08.860Z,18.646252821,73.7566476848,84,,2017,8475,3,25,11,8,4,2017-03-25,0,0,3336
0,1,0,1,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d016b2b04009d00cc0023f304a0eb78eaff9a1b2100103d71f021471bc8a00402060a44ac07c392f001c4e5000033000000e400231b001903e1074b,0,27,35,1,107,43,51,1,58820,0,14.1176470588,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:35.000Z,2017-03-25T00:28:09.938Z,18.6460259295,73.7569891679,75,,2017,8475,3,25,204,6,4,2017-03-25,4,2,3336
0,1,0,2,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d026b2b04009d00640023f304a0eb78eaff9a1b2100103d71f021471bc8a0040208ca42ac07fa92f001bec800006f0000005c04261b001903e10773,0,27,38,1,107,43,111,1,51390,0,14.1176470588,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:38.000Z,2017-03-25T00:28:09.939Z,18.6460574423,73.7568058213,115,,2017,8475,3,25,100,8,4,2017-03-25,4,2,3336
0,1,0,3,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d036b2b04009d00cc0023f304a0eb78eaff9a1b2100103d71f021471bc8a0040208ca42ac07fa92f001bec800006f0000005c04261b001903e107dc,0,27,38,1,107,43,111,1,51390,0,14.1176470588,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:38.000Z,2017-03-25T00:28:09.940Z,18.6460574423,73.7568058213,220,,2017,8475,3,25,204,8,4,2017-03-25,4,2,3336
0,1,0,4,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d046b2b04009d00cc0023f304a0eb78eaff9a1b2100103d71f021471bc8a00402082a42ac07fa92f00156c7000050000000e202281b001903e1073b,0,27,40,1,107,43,80,1,51030,0,14.1176470588,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:40.000Z,2017-03-25T00:28:09.962Z,18.6460574423,73.7567141479,59,,2017,8475,3,25,204,8,4,2017-03-25,4,2,3336
0,1,0,5,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d056b2b04009d002c0023f304a0eb78eaff9a1b2100103d71f021471bc8a00402082a42ac07fa92f00156c7000050000000e202281b001903e1079c,0,27,40,1,107,43,80,1,51030,0,14.1176470588,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:40.000Z,2017-03-25T00:28:09.963Z,18.6460574423,73.7567141479,156,,2017,8475,3,25,44,8,4,2017-03-25,4,2,3336
0,1,0,6,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d066b2b04009d00cc0023f304a0eb77eaff9a1b2100103d71f021471bc8a0040208e241ac07f792f001b0c70000500000001f02291b001903e10788,0,27,41,1,107,43,80,1,51120,0,14,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:41.000Z,2017-03-25T00:28:09.964Z,18.6460557234,73.7566728949,136,,2017,8475,3,25,204,8,4,2017-03-25,4,2,3336
0,1,0,7,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d076b2b04009d00640023f304a0eb74eaff9a1b2100103d71f021471bc8a0040208ad41ac07f592f001f2c60000bc00000036172a1b001903e107c1,0,27,42,1,107,43,188,1,50930,0,13.6470588235,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:42.000Z,2017-03-25T00:28:09.966Z,18.6460545775,73.7566425281,193,,2017,8475,3,25,100,8,4,2017-03-25,4,2,3336
0,1,0,8,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d086b2b04009d00cc0023f304a0eb73eaff9a1b2100103d71f021471bc8a0040208ad41ac07f592f001f2c60000bc00000036172a1b001903e10729,0,27,42,1,107,43,188,1,50930,0,13.5294117647,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:42.000Z,2017-03-25T00:28:10.101Z,18.6460545775,73.7566425281,41,,2017,8475,3,25,204,8,4,2017-03-25,4,2,3336
0,1,0,9,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d096b2b04009d00cc0023f304a0eb78eaff9a1b2100103d71f021471bc8a00402077c41ac07f292f00194c50000b500000003152b1b001903e10760,0,27,43,1,107,43,181,1,50580,0,14.1176470588,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:43.000Z,2017-03-25T00:28:10.103Z,18.6460528586,73.7566144532,96,,2017,8475,3,25,204,7,4,2017-03-25,4,2,3336
0,1,0,10,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d0a6b2b04009d00210023f304a0eb71eaff9a1b2100103d71f021471bc8a00402074441ac070393f001c2c40000a300000062142c1b001903e10703,0,27,44,1,107,43,163,1,50370,0,13.2941176471,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:44.000Z,2017-03-25T00:28:10.104Z,18.6460625989,73.7565823675,3,,2017,8475,3,25,33,7,4,2017-03-25,4,2,3336
0,1,0,11,157,235,161,4,243,35,1410765,0,4d43475000cd861500080d0b6b2b04009d00cc0023f304a1eb6feaff9a1b2100103d71f021471bc8a0040207f340ac078393f0014cc20000b00000009d162f1b001903e107b1,0,27,47,1,107,43,176,1,49740,0,13.0588235294,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:47.000Z,2017-03-25T00:28:10.106Z,18.6461359375,73.7565359579,177,,2017,8475,3,25,204,7,4,2017-03-25,4,2,3336
0,1,0,12,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d0c6b2b04009d002c0023f304a0eb75eaff9a1b2100103d71f021471bc8a0040207ad40ac07e093f001febf0000270000008316341b001903e1073f,0,27,52,1,107,43,39,1,49150,0,13.7647058823,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:27:52.000Z,2017-03-25T00:28:10.161Z,18.6461892227,73.7564958508,63,,2017,8475,3,25,44,7,4,2017-03-25,4,2,3336
0,1,0,13,157,235,160,4,243,35,1410765,0,4d43475000cd861500080d0d6b2b04009d002c0023f304a0eb78eaff9a1b2100103d71f021471cc8a00402085640ac070694f00164c30000000000008316041c001903e10729,0,28,4,1,107,43,0,1,50020,0,14.1176470588,3.8541176458,255,154,77,67,71,80,,160,2017-03-25T00:28:04.000Z,2017-03-25T00:28:10.162Z,18.6462109951,73.7564460035,41,,2017,8475,3,25,44,8,4,2017-03-25,4,2,3336
