mode_of_operation,ignition_status,msg_type,msg_num,current_gsm_2_3_nb,current_gsm_4_5_nb,unit_io_status_byte_4,unit_io_status_byte_3,unit_io_status_byte_2,unit_io_status_byte_1,unit_id,unit_status_current_gsm_1nb,raw_packet,utc_time_hour,utc_time_min,utc_time_sec,vehicle_movement_status,unit_hw_ver,unit_sw_ver,ground_speed,gps_validity,altitude,trans_reason_data,analog_ip_1,analog_ip_2,analog_ip_3,analog_ip_4,header_1,header_2,header_3,header_4,multipurpose_field,location_status,packettimestamp,receivedtimestamp,latitude,longitude,error_detection_code,imei,gps_date_year,mileage_counter,utc_date_month,utc_date_day,trans_reason,num_staellites,protocol_ver_id,date_part,gps_mode_1,gps_mode_2,comm_ctrl
1,0,0,133,157,235,0,0,51,3,1410591,0,4d434750001f861500088d856b2b04009d00210103330000eb6fe9ff9999000000000000000013c800040207fd35ad074f91eb01ce1201000900000085043a13001903e10735,0,19,58,0,107,43,9,1,70350,0,13.0588235294,3.8376470576,255,153,77,67,71,80,,0,2017-03-25T00:19:58.000Z,2017-03-25T00:28:39.624Z,18.4580658202,73.7924776308,53,,2017,153,3,25,33,7,4,2017-03-25,4,2,36104
1,0,0,116,157,235,0,8,51,3,1410591,0,4d434750001f861500008d746b2b04009d00200103330800eb6fe9ff999900000000000000001cc8000000082c35ad07698feb01fef10000330000006b0f261c001903e1078c,0,28,38,0,107,43,51,0,61950,0,13.0588235294,3.8376470576,255,153,77,67,71,80,,0,2017-03-25T00:28:39.050Z,2017-03-25T00:28:39.050Z,18.4577873625,73.7923578825,140,,2017,153,3,25,32,8,4,2017-03-25,0,0,36096
0,0,0,135,157,235,128,0,51,3,1410591,0,4d434750001f861500080d876b2b04009d002c0003330080eb6cebff9899000000000000000046c8000402054c33ad07328feb0109f500000c000000de031c06011903e107ec,1,6,28,0,107,43,12,1,62729,0,12.7058823529,3.8705882341,255,152,77,67,71,80,,0,2017-03-25T01:06:28.000Z,2017-03-25T01:06:57.162Z,18.4577558497,73.7920828625,236,,2017,153,3,25,44,5,4,2017-03-25,4,2,3336
0,0,0,136,157,235,0,0,51,3,1410591,0,4d434750001f861500080d886b2b04009d00350003330000eb6debff9899000000000000000046c800040205f135ad07ef8feb0109f50000050000004f131d06011903e10756,1,6,29,0,107,43,5,1,62729,0,12.8235294118,3.8705882341,255,152,77,67,71,80,,0,2017-03-25T01:06:29.000Z,2017-03-25T01:06:57.163Z,18.4578641389,73.7924707553,86,,2017,153,3,25,53,5,4,2017-03-25,4,2,3336
1,0,0,137,157,235,0,0,51,3,1410591,0,4d434750001f861500080d896b2b04009d00210103330000eb6deaff9899000000000000000046c8000402059733ad07328feb0100f500000900000001051e06011903e107ca,1,6,30,0,107,43,9,1,62720,0,12.8235294118,3.8541176458,255,152,77,67,71,80,,0,2017-03-25T01:06:30.000Z,2017-03-25T01:06:57.164Z,18.4577558497,73.7921258344,202,,2017,153,3,25,33,5,4,2017-03-25,4,2,3336
1,0,0,117,157,235,1,0,51,3,1410591,0,4d434750001f861500000d756b2b04009d00200103330001eb6eeaff9899000000000000000046c800040205fd33ad07358feb01cef400000d000000ba043706011903e107ba,1,6,55,0,107,43,13,1,62670,0,12.9411764706,3.8541176458,255,152,77,67,71,80,,0,2017-03-25T01:06:55.000Z,2017-03-25T01:06:56.676Z,18.4577575686,73.7921842761,186,,2017,153,3,25,32,5,4,2017-03-25,4,2,3328
1,1,0,134,157,235,0,8,243,35,1410591,4,4d434750001f861500080d866b2b04049d00450123f30800eb6de9ff989900000000000000001cc8000000082c35ad07698feb01fef10000330000006b0f1006011903e10701,1,6,16,1,107,43,51,0,61950,0,12.8235294118,3.8376470576,255,152,77,67,71,80,,0,2017-03-25T01:06:57.160Z,2017-03-25T01:06:57.160Z,18.4577873625,73.7923578825,1,,2017,153,3,25,69,8,4,2017-03-25,0,0,3336
1,0,0,118,157,235,0,0,51,3,1410591,0,4d434750001f861500000d766b2b04009d00200103330000eb6eeaff9999000000000000000049c8000402053d32ad07be8deb017a0c01000200000018132009011903e10797,1,9,32,0,107,43,2,1,68730,0,12.9411764706,3.8541176458,255,153,77,67,71,80,,0,2017-03-25T01:09:32.000Z,2017-03-25T01:09:32.194Z,18.4575427093,73.7919275908,151,,2017,153,3,25,32,5,4,2017-03-25,4,2,3328
1,1,0,138,157,235,0,0,179,35,1410591,0,4d434750001f861500080d8a6b2b04009d00450123b30000eb6deaff999900000000000000004cc8000402093132ad07be8deb010e0a0100050000001813000c011903e107ea,1,12,0,0,107,43,5,1,68110,0,12.8235294118,3.8541176458,255,153,77,67,71,80,,0,2017-03-25T01:12:00.000Z,2017-03-25T01:12:07.727Z,18.4575427093,73.7919207153,234,,2017,153,3,25,69,9,4,2017-03-25,4,2,3336
0,1,0,119,157,235,128,0,179,35,1410591,0,4d434750001f861500000d776b2b04009d00200023b30080eb6cebff999900000000000000004cc8000402092f32ad07c18deb01400a0100020000001813070c011903e10760,1,12,7,0,107,43,2,1,68160,0,12.7058823529,3.8705882341,255,153,77,67,71,80,,0,2017-03-25T01:12:07.000Z,2017-03-25T01:12:07.299Z,18.4575444281,73.7919195694,96,,2017,153,3,25,32,9,4,2017-03-25,4,2,3328
0,1,0,139,157,235,128,0,179,35,1410591,0,4d434750001f861500080d8b6b2b04009d002c0023b30080eb6cebff999900000000000000004cc8000402092f32ad07c38deb01540a01000000000018130c0c011903e107a1,1,12,12,0,107,43,0,1,68180,0,12.7058823529,3.8705882341,255,153,77,67,71,80,,0,2017-03-25T01:12:12.000Z,2017-03-25T01:12:12.810Z,18.4575455741,73.7919195694,161,,2017,153,3,25,44,9,4,2017-03-25,4,2,3336
0,1,0,140,157,235,128,0,243,35,1410591,0,4d434750001f861500080d8c6b2b04009d002c0023f30080eb6bebff999900000000000000004cc8000402091732ad07c18deb0182090100080000001813180c011903e10708,1,12,24,1,107,43,8,1,67970,0,12.5882352941,3.8705882341,255,153,77,67,71,80,,0,2017-03-25T01:12:24.000Z,2017-03-25T01:12:24.870Z,18.4575444281,73.7919058184,8,,2017,153,3,25,44,9,4,2017-03-25,4,2,3336
0,1,0,141,157,235,129,0,179,35,1410591,0,4d434750001f861500080d8d6b2b04009d002c0023b30081eb6becff999900000000000000004cc8000402081d32ad07be8deb016e090100000000001813240c011903e107bd,1,12,36,0,107,43,0,1,67950,0,12.5882352941,3.8870588223,255,153,77,67,71,80,,0,2017-03-25T01:12:36.000Z,2017-03-25T01:12:36.867Z,18.4575427093,73.7919092561,189,,2017,153,3,25,44,8,4,2017-03-25,4,2,3336
0,1,0,142,157,235,128,0,243,35,1410591,0,4d434750001f861500080d8e6b2b04009d002c0023f30080eb6becff999900000000000000004cc8000402091132ad07cf8deb015a090100010000001813300c011903e107fc,1,12,48,1,107,43,1,1,67930,0,12.5882352941,3.8870588223,255,153,77,67,71,80,,0,2017-03-25T01:12:48.000Z,2017-03-25T01:12:48.928Z,18.4575524496,73.7919023806,252,,2017,153,3,25,44,9,4,2017-03-25,4,2,3336
0,1,0,143,157,235,128,0,179,35,1410591,0,4d434750001f861500080d8f6b2b04009d002c0023b30080eb6becff999900000000000000004dc800040208f731ad07ec8deb0164090100020000001813000d011903e1079b,1,13,0,0,107,43,2,1,67940,0,12.5882352941,3.8870588223,255,153,77,67,71,80,,0,2017-03-25T01:13:00.000Z,2017-03-25T01:13:00.865Z,18.4575690653,73.7918874837,155,,2017,153,3,25,44,8,4,2017-03-25,4,2,3336
0,1,0,144,157,235,128,0,179,35,1410591,0,4d434750001f861500080d906b2b04009d002c0023b30080eb6becff999900000000000000004dc800040207dd31ad07038eeb01460901000000000018130c0d011903e10785,1,13,12,0,107,43,0,1,67910,0,12.5882352941,3.8870588223,255,153,77,67,71,80,,0,2017-03-25T01:13:12.000Z,2017-03-25T01:13:12.945Z,18.4575822434,73.7918725868,133,,2017,153,3,25,44,7,4,2017-03-25,4,2,3336
0,1,0,145,157,235,128,0,179,35,1410591,0,4d434750001f861500080d916b2b04009d002c0023b30080eb6becff999900000000000000004dc800040208dd31ad07038eeb0146090100000000001813180d011903e10793,1,13,24,0,107,43,0,1,67910,0,12.5882352941,3.8870588223,255,153,77,67,71,80,,0,2017-03-25T01:13:24.000Z,2017-03-25T01:13:24.886Z,18.4575822434,73.7918725868,147,,2017,153,3,25,44,8,4,2017-03-25,4,2,3336
0,1,0,146,157,235,128,0,243,35,1410591,0,4d434750001f861500080d926b2b04009d002c0023f30080eb6aecff999900000000000000004dc800040209dd31ad07068eeb018c090100000000001813240d011903e10729,1,13,36,1,107,43,0,1,67980,0,12.4705882353,3.8870588223,255,153,77,67,71,80,,0,2017-03-25T01:13:36.000Z,2017-03-25T01:13:36.805Z,18.4575839623,73.7918725868,41,,2017,153,3,25,44,9,4,2017-03-25,4,2,3336
0,1,0,147,157,235,128,0,243,35,1410591,0,4d434750001f861500080d936b2b04009d00640023f30080eb77ecff999900000000000000004dc800040209f131ad07128eeb01040a010082000000ce012c0d011903e10736,1,13,44,1,107,43,130,1,68100,0,14,3.8870588223,255,153,77,67,71,80,,0,2017-03-25T01:13:44.000Z,2017-03-25T01:13:44.788Z,18.4575908378,73.791884046,54,,2017,153,3,25,100,9,4,2017-03-25,4,2,3336
0,1,0,148,157,235,128,0,243,35,1410591,0,4d434750001f861500080d946b2b04009d002c0023f30080eb77ecff999900000000000000004dc800040209ef31ad07a38eeb01b4090100fd000000b417300d011903e107b8,1,13,48,1,107,43,253,1,68020,0,14,3.8870588223,255,153,77,67,71,80,,0,2017-03-25T01:13:48.000Z,2017-03-25T01:13:48.885Z,18.4576739167,73.7918829001,184,,2017,153,3,25,44,9,4,2017-03-25,4,2,3336
0,1,0,149,157,235,128,0,243,35,1410591,0,4d434750001f861500080d956b2b04009d002c0023f30080eb76ecff999900000000000000004ec800040208572ead07d88feb01f0090100af0000002c14000e011903e10787,1,14,0,1,107,43,175,1,68080,0,13.8823529412,3.8870588223,255,153,77,67,71,80,,0,2017-03-25T01:14:00.000Z,2017-03-25T01:14:00.811Z,18.4578509608,73.7913557784,135,,2017,153,3,25,44,8,4,2017-03-25,4,2,3336
0,1,0,150,157,235,0,0,243,35,1410591,0,4d434750001f861500080d966b2b04009d002c0023f30000eb77eaff9a9900000000000000004ec800040207d22aad071590eb01140901007b0100002b120c0e011903e107b6,1,14,12,1,107,43,379,1,67860,0,14,3.8541176458,255,154,77,67,71,80,,0,2017-03-25T01:14:12.000Z,2017-03-25T01:14:12.746Z,18.4578859113,73.790839543,182,,2017,153,3,25,44,7,4,2017-03-25,4,2,3336
0,1,0,151,157,235,128,0,243,35,1410591,0,4d434750001f861500080d976b2b04009d002c0023f30080eb77ecff9a9900000000000000004ec800040209fd28ad077e94eb01d2040100640300007918180e011903e107d5,1,14,24,1,107,43,868,1,66770,0,14,3.8870588223,255,154,77,67,71,80,,0,2017-03-25T01:14:24.000Z,2017-03-25T01:14:27.075Z,18.4585327812,73.7905708256,213,,2017,153,3,25,44,9,4,2017-03-25,4,2,3336
0,1,0,152,157,235,128,0,243,35,1410591,0,4d434750001f861500080d986b2b04009d002c0023f30080eb77ecff9a9900000000000000004ec8000402090628ad07dd98eb01b80001004e020000d817240e011903e10777,1,14,36,1,107,43,590,1,65720,0,14,3.8870588223,255,154,77,67,71,80,,0,2017-03-25T01:14:36.000Z,2017-03-25T01:14:36.934Z,18.4591739215,73.7904293049,119,,2017,153,3,25,44,9,4,2017-03-25,4,2,3336
0,1,0,153,157,235,128,0,243,35,1410591,0,4d434750001f861500080d996b2b04009d002c0023f30080eb77ecff9a9900000000000000004ec800040209d726ad074c9deb01b2f700005a010000ab17300e011903e10795,1,14,48,1,107,43,346,1,63410,0,14,3.8870588223,255,154,77,67,71,80,,0,2017-03-25T01:14:48.000Z,2017-03-25T01:14:49.615Z,18.4598242291,73.7902556985,149,,2017,153,3,25,44,9,4,2017-03-25,4,2,3336
0,1,0,154,157,235,128,0,243,35,1410591,0,4d434750001f861500080d9a6b2b04009d002c0023f30080eb77ecff9a9900000000000000004fc8000402099227ad07469feb01f2ee0000db000000e604000f011903e107ff,1,15,0,1,107,43,219,1,61170,0,14,3.8870588223,255,154,77,67,71,80,,0,2017-03-25T01:15:00.000Z,2017-03-25T01:15:00.880Z,18.460114146,73.7903628417,255,,2017,153,3,25,44,9,4,2017-03-25,4,2,3336
0,0,0,155,157,235,128,0,115,3,1410591,0,4d434750001f861500080d9b6b2b04009d002c0003730080eb72ecff9a9900000000000000004fc80004020a262aad07d59feb0160ea0000000000005c050c0f011903e10794,1,15,12,1,107,43,0,1,60000,0,13.4117647059,3.8870588223,255,154,77,67,71,80,,0,2017-03-25T01:15:12.000Z,2017-03-25T01:15:12.722Z,18.4601960791,73.7907409942,148,,2017,153,3,25,44,10,4,2017-03-25,4,2,3336
0,1,0,156,157,235,128,0,179,35,1410591,0,4d434750001f861500080d9c6b2b04009d002c0023b30080eb6becff9a9900000000000000004fc80004020a262aad07da9feb012eea0000000000005c05180f011903e107cd,1,15,24,0,107,43,0,1,59950,0,12.5882352941,3.8870588223,255,154,77,67,71,80,,0,2017-03-25T01:15:24.000Z,2017-03-25T01:15:25.559Z,18.4601989438,73.7907409942,205,,2017,153,3,25,44,10,4,2017-03-25,4,2,3336
0,1,0,157,157,235,128,0,179,35,1410591,0,4d434750001f861500080d9d6b2b04009d002c0023b30080eb6becff9a9900000000000000004fc80004020a262aad07dd9feb01fce90000000000005c05240f011903e107aa,1,15,36,0,107,43,0,1,59900,0,12.5882352941,3.8870588223,255,154,77,67,71,80,,0,2017-03-25T01:15:36.000Z,2017-03-25T01:15:37.743Z,18.4602006627,73.7907409942,170,,2017,153,3,25,44,10,4,2017-03-25,4,2,3336
0,1,0,158,157,235,128,0,179,35,1410591,0,4d434750001f861500080d9e6b2b04009d002c0023b30080eb6cecff9a9900000000000000004fc80004020a262aad07e09feb01cae90000000000005c05300f011903e10789,1,15,48,0,107,43,0,1,59850,0,12.7058823529,3.8870588223,255,154,77,67,71,80,,0,2017-03-25T01:15:48.000Z,2017-03-25T01:16:00.037Z,18.4602023816,73.7907409942,137,,2017,153,3,25,44,10,4,2017-03-25,4,2,3336
0,1,0,159,157,235,128,0,179,35,1410591,0,4d434750001f861500080d9f6b2b04009d002c0023b30080eb6becff9a99000000000000000050c80004020a262aad07e39feb018ee90000000000005c050010011903e10722,1,16,0,0,107,43,0,1,59790,0,12.5882352941,3.8870588223,255,154,77,67,71,80,,0,2017-03-25T01:16:00.000Z,2017-03-25T01:16:00.576Z,18.4602041005,73.7907409942,34,,2017,153,3,25,44,10,4,2017-03-25,4,2,3336
